Date,Team 1,Team 2,Winner,Result,Venue
2009-10-20,Maharashtra,Gujarat,Maharashtra,Maharashtra won by 6 wickets,Mumbai
2009-10-20,Mumbai,Saurashtra,Mumbai,Mumbai won by 5 wickets,Mumbai
2009-10-21,Maharashtra,Saurashtra,Maharashtra,Maharashtra won by 17 runs,Mumbai
2009-10-21,Mumbai,Gujarat,Mumbai,Mumbai won by 4 wickets,Mumbai
2009-10-22,Gujarat,Saurashtra,Saurashtra,Saurashtra won by 6 wickets,Mumbai
2009-10-22,Mumbai,Maharashtra,Maharashtra,Maharashtra won by 7 wickets,Mumbai
2009-10-20,Tamil Nadu,Hyderabad,Tamil Nadu,Tamil Nadu won by 5 wickets,Hyderabad
2009-10-20,Andhra,Goa,Andhra,Andhra won by 42 runs,Hyderabad
2009-10-20,Karnataka,Kerala,Karnataka,Karnataka won by 39 runs,Hyderabad
2009-10-21,Andhra,Hyderabad,Andhra,Andhra won by 2 runs,Hyderabad
2009-10-21,Kerala,Goa,Kerala,Kerala won by 6 wickets,Hyderabad
2009-10-21,Tamil Nadu,Karnataka,Tamil Nadu,Tamil Nadu won by 6 wickets,Hyderabad
2009-10-22,Hyderabad,Goa,Hyderabad,Hyderabad won by 6 wickets,Hyderabad
2009-10-22,Andhra,Karnataka,Karnataka,Karnataka won by 8 wickets,Hyderabad
2009-10-22,Tamil Nadu,Kerala,Tamil Nadu,Tamil Nadu won by 30 runs,Hyderabad
2009-10-20,Punjab,Delhi,Punjab,Punjab won by 8 wickets,Delhi
2009-10-20,Jammu & Kashmir,Services,Services,Services won by 7 wickets,Delhi
2009-10-20,Haryana,Himachal Pradesh,Haryana,Haryana won by 35 runs,Delhi
2009-10-21,Delhi,Services,Delhi,Delhi won by 7 wickets,Delhi
2009-10-21,Himachal Pradesh,Jammu & Kashmir,Himachal Pradesh,Himachal Pradesh won by 53 runs,Delhi
2009-10-21,Punjab,Haryana,Punjab,Punjab won by 6 wickets,Delhi
2009-10-22,Delhi,Jammu & Kashmir,Delhi,Delhi won by 6 wickets,Delhi
2009-10-22,Haryana,Services,Haryana,Haryana won by 6 wickets,Delhi
2009-10-22,Punjab,Himachal Pradesh,Punjab,Punjab won by 5 wickets,Delhi
2009-10-20,Bengal,Odisha,Bengal,Bengal won by 27 runs,Kolkata
2009-10-20,Assam,Tripura,Assam,Assam won by 6 wickets,Kolkata
2009-10-21,Jharkhand,Tripura,Jharkhand,Jharkhand won by 7 wickets,Kolkata
2009-10-21,Bengal,Assam,Bengal,Bengal won by 6 wickets,Kolkata
2009-10-22,Assam,Odisha,Assam,Assam won by 5 wickets,Kolkata
2009-10-22,Bengal,Jharkhand,Bengal,Bengal won by 8 wickets,Kolkata
2009-10-20,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Nagpur
2009-10-20,Railways,Rajasthan,Railways,Railways won by 2 runs,Nagpur
2009-10-21,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 16 runs,Nagpur
2009-10-21,Railways,Vidarbha,Vidarbha,Vidarbha won by 5 wickets,Nagpur
2009-10-22,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 7 wickets,Nagpur
2009-10-22,Rajasthan,Vidarbha,Vidarbha,Vidarbha won by 7 wickets,Nagpur
2009-10-24,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 16 runs,Indore
2009-10-24,Assam,Bengal,Bengal,Bengal won by 8 wickets,Indore
2009-10-24,Punjab,Delhi,Punjab,Punjab won by 7 wickets,Indore
2009-10-24,Andhra,Karnataka,Andhra,Andhra won by 6 wickets,Indore
2009-10-24,Maharashtra,Tamil Nadu,Maharashtra,Maharashtra won by 6 wickets (Super Over),Chennai
2009-10-24,Hyderabad,Mumbai,Hyderabad,Hyderabad won by 21 runs,Chennai
2009-10-25,Andhra,Punjab,Andhra,Andhra won by 5 wickets,Chennai
2009-10-25,Bengal,Madhya Pradesh,Bengal,Bengal won by 9 wickets,Chennai
2009-10-25,Delhi,Karnataka,Delhi,Delhi won by 5 wickets,Chennai
2009-10-25,Hyderabad,Maharashtra,Maharashtra,Maharashtra won by 6 wickets,Chennai
2009-10-25,Mumbai,Vidarbha,Mumbai,Mumbai won by 3 runs,Chennai
2009-10-26,Andhra,Bengal,Andhra,Andhra won by 13 runs,Chennai
2009-10-26,Delhi,Vidarbha,Delhi,Delhi won by 6 wickets,Chennai
2009-10-26,Hyderabad,Punjab,Hyderabad,Hyderabad won by 21 runs,Chennai
2009-10-26,Karnataka,Madhya Pradesh,Karnataka,Karnataka won by 8 wickets,Chennai
2009-10-26,Mumbai,Tamil Nadu,Mumbai,Mumbai won by 1 run,Chennai
2009-10-27,Bengal,Delhi,Delhi,Delhi won by 9 wickets,Chennai
2009-10-27,Hyderabad,Vidarbha,Hyderabad,Hyderabad won by 5 wickets,Chennai
2009-10-27,Karnataka,Tamil Nadu,Karnataka,Karnataka won by 6 wickets,Chennai
2009-10-27,Maharashtra,Punjab,Maharashtra,Maharashtra won by 6 wickets,Chennai
2009-10-27,Andhra,Mumbai,Mumbai,Mumbai won by 5 wickets,Chennai
2009-10-28,Andhra,Delhi,Delhi,Delhi won by 5 wickets,Chennai
2009-10-28,Bengal,Punjab,Bengal,Bengal won by 20 runs,Chennai
2009-10-28,Karnataka,Vidarbha,Karnataka,Karnataka won by 14 runs,Chennai
2009-10-28,Maharashtra,Mumbai,Maharashtra,Maharashtra won by 4 runs,Chennai
2009-10-28,Hyderabad,Tamil Nadu,Hyderabad,Hyderabad won by 7 wickets,Chennai
2010-10-09,Bengal,Assam,Bengal,Bengal won by 8 wickets,Dhanbad
2010-10-09,Jharkhand,Odisha,Jharkhand,Jharkhand won by 7 wickets,Dhanbad
2010-10-10,Bengal,Odisha,Bengal,Bengal won by 2 runs,Dhanbad
2010-10-10,Jharkhand,Tripura,Jharkhand,Jharkhand won by 9 wickets,Dhanbad
2010-10-11,Assam,Tripura,Assam,Assam won by 6 wickets,Dhanbad
2010-10-12,Bengal,Tripura,Bengal,Bengal won by 9 wickets,Dhanbad
2010-10-12,Jharkhand,Assam,Jharkhand,Jharkhand won by 6 wickets,Dhanbad
2010-10-13,Odisha,Tripura,Odisha,Odisha won by 6 wickets,Dhanbad
2010-10-14,Assam,Odisha,Assam,Assam won by 3 wickets,Dhanbad
2010-10-14,Bengal,Jharkhand,Jharkhand,Jharkhand won by 6 wickets,Dhanbad
2010-10-09,Madhya Pradesh,Rajasthan,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Jaipur
2010-10-09,Railways,Vidarbha,Railways,Railways won by 4 wickets,Jaipur
2010-10-10,Madhya Pradesh,Railways,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Jaipur
2010-10-10,Rajasthan,Vidarbha,Rajasthan,Rajasthan won by 6 wickets,Jaipur
2010-10-11,Madhya Pradesh,Vidarbha,Madhya Pradesh,Madhya Pradesh won by 6 wickets,Jaipur
2010-10-11,Railways,Rajasthan,Railways,Railways won by 2 runs,Jaipur
2010-10-09,Delhi,Haryana,Delhi,Delhi won by 5 wickets,Delhi
2010-10-09,Himachal Pradesh,Services,Himachal Pradesh,Himachal Pradesh won by 4 wickets,Delhi
2010-10-10,Delhi,Jammu & Kashmir,Delhi,Delhi won by 9 wickets,Delhi
2010-10-10,Punjab,Services,Punjab,Punjab won by 8 wickets,Delhi
2010-10-11,Haryana,Jammu & Kashmir,Haryana,Haryana won by 8 wickets,Delhi
2010-10-11,Himachal Pradesh,Punjab,Punjab,Punjab won by 6 wickets,Delhi
2010-10-12,Delhi,Services,Delhi,Delhi won by 7 wickets,Delhi
2010-10-12,Haryana,Himachal Pradesh,Haryana,Haryana won by 5 wickets,Delhi
2010-10-13,Jammu & Kashmir,Punjab,Punjab,Punjab won by 9 wickets,Delhi
2010-10-13,Haryana,Services,Haryana,Haryana won by 7 wickets,Delhi
2010-10-13,Delhi,Punjab,Punjab,Punjab won by 6 wickets,Delhi
2010-10-14,Delhi,Himachal Pradesh,Delhi,Delhi won by 6 wickets,Delhi
2010-10-14,Haryana,Punjab,Punjab,Punjab won by 7 wickets,Delhi
2010-10-14,Jammu & Kashmir,Services,Services,Services won by 8 wickets,Delhi
2010-10-09,Andhra,Goa,Andhra,Andhra won by 6 wickets,Hyderabad
2010-10-09,Hyderabad,Kerala,Hyderabad,Hyderabad won by 7 wickets,Hyderabad
2010-10-10,Andhra,Karnataka,Karnataka,Karnataka won by 7 wickets,Hyderabad
2010-10-10,Goa,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 8 wickets,Hyderabad
2010-10-11,Hyderabad,Tamil Nadu,Tamil Nadu,Tamil Nadu won by 6 wickets,Hyderabad
2010-10-11,Karnataka,Kerala,Karnataka,Karnataka won by 5 wickets,Hyderabad
2010-10-12,Andhra,Kerala,Andhra,Andhra won by 5 wickets,Hyderabad
2010-10-12,Goa,Hyderabad,Hyderabad,Hyderabad won by 9 wickets,Hyderabad
